species,article,months,views_total,views_mean_monthly
Leptodon cayanensis,Gray-headed kite,120,22980,191.50
Leptodon forbesi,White-collared kite,120,20856,173.80
Leucopternis kuhli,White-browed hawk,120,11084,92.37
Leucopternis melanops,Black-faced hawk,120,20323,169.36
Leucopternis semiplumbeus,Semiplumbeous hawk,120,14023,116.86
Lophaetus occipitalis,Long-crested eagle,120,125919,1049.33
Lophoictinia isura,Square-tailed kite,120,43895,365.79
Lophotriorchis kienerii,Rufous-bellied eagle,120,53116,442.63
Macheiramphus alcinus,Bat hawk,120,110549,921.24
Megatriorchis doriae,Doria's hawk,17,1154,67.88
Melierax canorus,Pale chanting goshawk,120,52828,440.23
Melierax metabates,Dark chanting goshawk,120,42574,354.78
Melierax poliopterus,Eastern chanting goshawk,120,30796,256.63
Micronisus gabar,Gabar goshawk,120,51743,431.19
Milvus aegyptius,Yellow-billed kite,120,105172,876.43
Milvus migrans,Black kite,120,1265527,10546.06
Milvus milvus,Red kite,120,1733776,14448.13
Morphnarchus princeps,Barred hawk,120,18518,154.32
Morphnus guianensis,Crested eagle,120,166527,1387.72
Necrosyrtes monachus,Hooded vulture,120,226808,1890.07
Neophron percnopterus,Egyptian vulture,120,709625,5913.54
Nisaetus alboniger,Blyth's hawk-eagle,120,31026,258.55
Nisaetus bartelsi,Javan hawk-eagle,120,182152,1517.93
Nisaetus cirrhatus,Changeable hawk-eagle,120,267548,2229.57
Nisaetus floris,Flores hawk-eagle,120,35787,298.23
Nisaetus lanceolatus,Sulawesi hawk-eagle,120,23606,196.72
Nisaetus nanus,Wallace's hawk-eagle,120,28699,239.16
Nisaetus nipalensis,Mountain hawk-eagle,120,161730,1347.75
Nisaetus philippensis,Philippine hawk-eagle,120,81882,682.35
Nisaetus pinskeri,Pinsker's hawk-eagle,120,31754,264.62
Parabuteo leucorrhous,White-rumped hawk,120,27575,229.79
Parabuteo unicinctus,Harris's hawk,120,913010,7608.42
Pernis apivorus,European honey buzzard,120,590729,4922.74
Pernis celebensis,Barred honey buzzard,120,18387,153.22
Pernis ptilorhynchus,Crested honey buzzard,120,259022,2158.52
Pernis steerei,Philippine honey buzzard,120,16143,134.53
Pithecophaga jefferyi,Philippine eagle,120,2695805,22465.04
Polemaetus bellicosus,Martial eagle,120,681767,5681.39
Polyboroides radiatus,Madagascar harrier-hawk,120,16828,140.23
Polyboroides typus,African harrier-hawk,120,199951,1666.26
Pseudastur albicollis,White hawk,120,142696,1189.13
Pseudastur occidentalis,Grey-backed hawk,120,10418,86.82
Pseudastur polionotus,Mantled hawk,120,13168,109.73
Rostrhamus sociabilis,Snail kite,120,196450,1637.08
Rupornis magnirostris,Roadside hawk,120,109615,913.46
Sarcogyps calvus,Red-headed vulture,120,279060,2325.50
Spilornis cheela,Crested serpent eagle,120,260524,2171.03
Spilornis elgini,Andaman serpent eagle,120,32918,274.32
Spilornis holospilus,Philippine serpent eagle,120,63279,527.33
Spilornis kinabaluensis,Mountain serpent eagle,120,21074,175.62
Spilornis klossi,Great Nicobar serpent eagle,120,34406,286.72
Spilornis rufipectus,Sulawesi serpent eagle,120,14496,120.80
Spizaetus isidori,Black-and-chestnut eagle,120,73102,609.18
Spizaetus melanoleucus,Black-and-white hawk-eagle,120,114216,951.80
Spizaetus ornatus,Ornate hawk-eagle,120,184236,1535.30
Spizaetus tyrannus,Black hawk-eagle,120,91809,765.08
Stephanoaetus coronatus,Crowned eagle,120,826636,6888.63
Terathopius ecaudatus,,0,,
Torgos tracheliotos,Lappet-faced vulture,120,342248,2852.07
Trigonoceps occipitalis,White-headed vulture,120,202440,1687.00
Urotriorchis macrourus,Long-tailed hawk,120,23974,199.78
Pandion haliaetus,,0,,
Sagittarius serpentarius,,0,,
Aix galericulata,Mandarin duck,120,1860835,15506.96
Aix sponsa,Wood duck,120,1274643,10622.02
Alopochen aegyptiaca,Egyptian goose,120,996361,8303.01
Amazonetta brasiliensis,Brazilian teal,120,47846,398.72
Anas acuta,Northern pintail,120,542025,4516.88
Anas albogularis,Andaman teal,120,32639,271.99
Anas andium,Andean teal,120,17163,143.03
Anas aucklandica,Auckland teal,120,38261,318.84
Anas bahamensis,White-cheeked pintail,120,77246,643.72
Anas bernieri,Bernier's teal,120,25972,216.43
Anas capensis,Cape teal,120,37491,312.43
Anas carolinensis,Green-winged teal,120,273105,2275.88
Anas castanea,Chestnut teal,120,43595,363.29
Anas chlorotis,Brown teal,120,41127,342.73
Anas crecca,Eurasian teal,120,486846,4057.05
Anas eatoni,Eaton's pintail,120,34831,290.26
Anas erythrorhyncha,Red-billed teal,120,33118,275.98
Anas flavirostris,Yellow-billed teal,120,31736,264.47
Anas fulvigula,Mottled duck,120,131923,1099.36
Anas georgica,Yellow-billed pintail,120,38960,324.67
Anas gibberifrons,Sunda teal,120,19813,165.11
Anas gracilis,Grey teal,120,50334,419.45
Anas laysanensis,Laysan duck,120,152924,1274.37
Anas luzonica,Philippine duck,120,94368,786.40
Anas melleri,Meller's duck,120,28191,234.93
Anas nesiotis,Campbell teal,120,60577,504.81
Anas platyrhynchos,,0,,
Anas poecilorhyncha,Indian spot-billed duck,120,122430,1020.25
Anas rubripes,American black duck,120,464866,3873.88
Anas sparsa,African black duck,120,62141,517.84
Anas superciliosa,Pacific black duck,120,197092,1642.43
Anas undulata,Yellow-billed duck,120,60986,508.22
Anas wyvilliana,Hawaiian duck,120,156954,1307.95
Anas zonorhyncha,Eastern spot-billed duck,120,54006,450.05
Anser albifrons,Greater white-fronted goose,120,352162,2934.68
Anser anser,Greylag goose,120,849490,7079.08
Anser brachyrhynchus,Pink-footed goose,120,193431,1611.92
Anser caerulescens,Snow goose,120,1030054,8583.78
Anser canagicus,Emperor goose,120,127115,1059.29
Anser cygnoid,Swan goose,120,346840,2890.33
Anser erythropus,Lesser white-fronted goose,120,117885,982.38
Anser fabalis,Taiga bean goose,120,73439,611.99
Anser indicus,Bar-headed goose,120,552032,4600.27
Anser rossii,Ross's goose,120,199572,1663.10
Asarcornis scutulata,White-winged duck,120,144863,1207.19
Aythya affinis,Lesser scaup,120,260329,2169.41
Aythya americana,Redhead (bird),120,283935,2366.12
Aythya australis,,0,,
Aythya baeri,Baer's pochard,120,100301,835.84
Aythya collaris,Ring-necked duck,120,225926,1882.72
Aythya ferina,Common pochard,120,250950,2091.25
Aythya fuligula,Tufted duck,120,366014,3050.12
Aythya innotata,Madagascar pochard,120,48527,404.39
Aythya marila,Greater scaup,120,315937,2632.81
Aythya novaeseelandiae,New Zealand scaup,120,49869,415.57
Aythya nyroca,Ferruginous duck,120,133673,1113.94
Aythya valisineria,,0,,
Biziura lobata,Musk duck,120,97068,808.90
Branta bernicla,Brant (goose),112,369525,3299.33
Branta canadensis,Canada goose,120,4601601,38346.68
Branta hutchinsii,Cackling goose,120,324051,2700.43
Branta leucopsis,Barnacle goose,120,734201,6118.34
Branta ruficollis,Red-breasted goose,120,150472,1253.93
Branta sandvicensis,Nene (bird),120,990417,8253.48
Bucephala albeola,,0,,
Bucephala clangula,Common goldeneye,120,403977,3366.47
Bucephala islandica,Barrow's goldeneye,120,149431,1245.26
Cairina moschata,Muscovy duck,120,2889345,24077.88
Callonetta leucophrys,Ringed teal,120,65288,544.07
Cereopsis novaehollandiae,Cape Barren goose,120,238904,1990.87
Chenonetta jubata,Australian wood duck,120,198924,1657.70
Chloephaga hybrida,Kelp goose,120,28774,239.78
Chloephaga melanoptera,Andean goose,120,44742,372.85
Chloephaga picta,Upland goose,120,58784,489.87
Chloephaga poliocephala,Ashy-headed goose,120,23061,192.18
Chloephaga rubidiceps,Ruddy-headed goose,120,30125,251.04
Clangula hyemalis,Long-tailed duck,120,311446,2595.38
Coscoroba coscoroba,Coscoroba swan,120,171311,1427.59
Cyanochen cyanoptera,Blue-winged goose,120,41135,342.79
Cygnus atratus,Black swan,120,1663635,13863.62
Cygnus buccinator,Trumpeter swan,120,1084949,9041.24
Cygnus columbianus,Tundra swan,120,508056,4233.80
Cygnus cygnus,Whooper swan,120,653202,5443.35
Cygnus melancoryphus,Black-necked swan,120,170926,1424.38
Cygnus olor,Mute swan,120,1763089,14692.41
Dendrocygna arborea,West Indian whistling duck,120,42534,354.45
Dendrocygna arcuata,Wandering whistling duck,120,44736,372.80
Dendrocygna autumnalis,Black-bellied whistling duck,120,493627,4113.56
Dendrocygna bicolor,Fulvous whistling duck,120,251128,2092.73
Dendrocygna eytoni,Plumed whistling duck,120,58816,490.13
Dendrocygna guttata,Spotted whistling duck,120,31858,265.48
Dendrocygna javanica,Lesser whistling duck,120,156244,1302.03
Dendrocygna viduata,White-faced whistling duck,120,123180,1026.50
Heteronetta atricapilla,Black-headed duck,120,54975,458.12
Histrionicus histrionicus,Harlequin duck,120,337908,2815.90
Hymenolaimus malacorhynchos,Blue duck,120,183422,1528.52
Lophodytes cucullatus,Hooded merganser,120,540149,4501.24
Lophonetta specularioides,Crested duck,120,53739,447.82
Malacorhynchus membranaceus,Pink-eared duck,120,54839,456.99
Mareca americana,American wigeon,120,284778,2373.15
Mareca falcata,Falcated duck,120,99875,832.29
Mareca penelope,Eurasian wigeon,120,344267,2868.89
Mareca sibilatrix,Chiloé wigeon,120,36752,306.27
Mareca strepera,,0,,
Marmaronetta angustirostris,Marbled duck,120,70719,589.33
Melanitta americana,Black scoter,120,136191,1134.92
Melanitta deglandi,White-winged scoter,120,117938,982.82
Melanitta fusca,Velvet scoter,120,74856,623.80
Melanitta nigra,Common scoter,120,90795,756.62
Melanitta perspicillata,Surf scoter,120,187347,1561.22
Melanitta stejnegeri,Stejneger's scoter,79,20110,254.56
Merganetta armata,Torrent duck,120,71499,595.83
Mergellus albellus,,0,,
Mergus merganser,Common merganser,120,789856,6582.13
Mergus octosetaceus,Brazilian merganser,120,55341,461.18
Mergus serrator,Red-breasted merganser,120,309013,2575.11
Mergus squamatus,Scaly-sided merganser,120,62101,517.51
Neochen jubata,Orinoco goose,120,62834,523.62
Netta erythrophthalma,Southern pochard,120,31421,261.84
Netta peposaca,Rosy-billed pochard,120,36513,304.27
Netta rufina,Red-crested pochard,120,186004,1550.03
Nettapus auritus,African pygmy goose,120,61482,512.35
Nettapus coromandelianus,Cotton pygmy goose,120,76927,641.06
Nettapus pulchellus,Green pygmy goose,120,29290,244.08
Nomonyx dominicus,Masked duck,120,56031,466.93
Oxyura australis,Blue-billed duck,120,99083,825.69
Oxyura ferruginea,Andean duck,120,16177,134.81
Oxyura jamaicensis,Ruddy duck,120,376551,3137.93
Oxyura leucocephala,White-headed duck,120,135785,1131.54
Oxyura maccoa,Maccoa duck,120,29366,244.72
Oxyura vittata,Lake duck,120,289807,2415.06
Plectropterus gambensis,Spur-winged goose,120,250885,2090.71
Polysticta stelleri,Steller's eider,120,121123,1009.36
Pteronetta hartlaubii,Hartlaub's duck,120,21456,178.80
Radjah radjah,Radjah shelduck,120,55499,462.49
Rhodonessa caryophyllacea,Pink-headed duck,120,347369,2894.74
Salvadorina waigiuensis,Salvadori's teal,120,22771,189.76
Sarkidiornis melanotos,Knob-billed duck,120,113835,948.62
Sarkidiornis sylvicola,Comb duck,120,63910,532.58
Sibirionetta formosa,Baikal teal,120,167732,1397.77
Somateria fischeri,Spectacled eider,120,83426,695.22
Somateria mollissima,Common eider,120,563665,4697.21
Somateria spectabilis,King eider,120,286462,2387.18
Spatula clypeata,Northern shoveler,120,466389,3886.57
Spatula cyanoptera,Cinnamon teal,120,201587,1679.89
Spatula discors,Blue-winged teal,120,338424,2820.20
Spatula hottentota,Blue-billed teal,60,23199,386.65
Spatula platalea,Red shoveler,120,24960,208.00
Spatula puna,Puna teal,120,24997,208.31
Spatula querquedula,,0,,
Spatula rhynchotis,Australasian shoveler,120,40954,341.28
Spatula smithii,Cape shoveler,120,23842,198.68
Spatula versicolor,Silver teal,120,28059,233.82
Speculanas specularis,Bronze-winged duck,120,22116,184.30
Stictonetta naevosa,Freckled duck,120,53278,443.98
Tachyeres brachypterus,Falkland steamer duck,120,49087,409.06
Tachyeres leucocephalus,Chubut steamer duck,120,21965,183.04
Tachyeres patachonicus,Flying steamer duck,120,33201,276.68
Tachyeres pteneres,Fuegian steamer duck,120,50533,421.11
Tadorna cana,South African shelduck,120,50359,419.66
Tadorna cristata,Crested shelduck,120,74654,622.12
Tadorna ferruginea,Ruddy shelduck,120,389413,3245.11
Tadorna tadorna,Common shelduck,120,218457,1820.47
Tadorna tadornoides,Australian shelduck,120,74335,619.46
Tadorna variegata,Paradise shelduck,120,148304,1235.87
Thalassornis leuconotus,White-backed duck,120,38577,321.48
Anhima cornuta,Horned screamer,120,178345,1486.21
Chauna chavaria,Northern screamer,120,40836,340.30
Chauna torquata,Southern screamer,120,114913,957.61
Anseranas semipalmata,Magpie goose,120,326562,2721.35
Aceros nipalensis,Rufous-necked hornbill,120,63969,533.08
Anorrhinus austeni,Austen's brown hornbill,120,22791,189.93
Anorrhinus galeritus,Bushy-crested hornbill,120,17412,145.10
Anorrhinus tickelli,Tickell's brown hornbill,120,12011,100.09
Anthracoceros albirostris,Oriental pied hornbill,120,203593,1696.61
Anthracoceros coronatus,Malabar pied hornbill,120,121091,1009.09
Anthracoceros malayanus,Black hornbill,120,44269,368.91
Anthracoceros marchei,Palawan hornbill,120,57286,477.38
Anthracoceros montani,Sulu hornbill,120,49787,414.89
Berenicornis comatus,White-crowned hornbill,120,38525,321.04
Buceros bicornis,Great hornbill,120,1190918,9924.32
Buceros hydrocorax,Rufous hornbill,120,118867,990.56
Buceros mindanensis,Southern rufous hornbill,35,2119,60.54
Buceros rhinoceros,Rhinoceros hornbill,120,375701,3130.84
Bucorvus abyssinicus,Abyssinian ground hornbill,120,113393,944.94
Bucorvus leadbeateri,Southern ground hornbill,120,310708,2589.23
Bycanistes albotibialis,White-thighed hornbill,120,15301,127.51
Bycanistes brevis,Silvery-cheeked hornbill,120,51148,426.23
Bycanistes bucinator,Trumpeter hornbill,120,67130,559.42
Bycanistes cylindricus,Brown-cheeked hornbill,120,14399,119.99
Bycanistes fistulator,Piping hornbill,120,17345,144.54
Bycanistes sharpii,,0,,
Bycanistes subcylindricus,Black-and-white-casqued hornbill,120,43491,362.43
Ceratogymna atrata,Black-casqued hornbill,120,34624,288.53
Ceratogymna elata,Yellow-casqued hornbill,120,16900,140.83
Horizocerus albocristatus,Western long-tailed hornbill,24,3461,144.21
Horizocerus cassini,Eastern long-tailed hornbill,24,1275,53.12
Horizocerus granti,Eastern dwarf hornbill,24,1133,47.21
Horizocerus hartlaubi,Western dwarf hornbill,24,1527,63.62
Lophoceros alboterminatus,Crowned hornbill,120,42039,350.32
Lophoceros bradfieldi,Bradfield's hornbill,120,14144,117.87
Lophoceros camurus,Red-billed dwarf hornbill,120,13572,113.10
Lophoceros fasciatus,Congo pied hornbill,30,5097,169.90
Lophoceros hemprichii,Hemprich's hornbill,120,11552,96.27
Lophoceros nasutus,African grey hornbill,120,89113,742.61
Lophoceros pallidirostris,Pale-billed hornbill,120,10138,84.48
Lophoceros semifasciatus,West African pied hornbill,30,2570,85.67
Ocyceros birostris,Indian grey hornbill,120,293277,2443.97
Ocyceros gingalensis,Sri Lanka grey hornbill,120,48713,405.94
Ocyceros griseus,Malabar grey hornbill,120,126262,1052.18
Penelopides affinis,Mindanao hornbill,120,16301,135.84
Penelopides manillae,Luzon hornbill,120,27027,225.22
Penelopides mindorensis,Mindoro hornbill,120,18235,151.96
Penelopides panini,Visayan hornbill,120,51957,432.98
Rhabdotorrhinus corrugatus,Wrinkled hornbill,120,46103,384.19
Rhabdotorrhinus exarhatus,Sulawesi hornbill,120,21181,176.51
Rhabdotorrhinus leucocephalus,Writhed hornbill,120,19141,159.51
Rhabdotorrhinus waldeni,Walden's hornbill,120,69327,577.73
Rhinoplax vigil,Helmeted hornbill,120,205359,1711.33
Rhyticeros cassidix,Knobbed hornbill,120,70373,586.44
Rhyticeros everetti,Sumba hornbill,120,16513,137.61
Rhyticeros narcondami,Narcondam hornbill,120,89473,745.61
Rhyticeros plicatus,Blyth's hornbill,120,43488,362.40
Rhyticeros subruficollis,Plain-pouched hornbill,120,21613,180.11
Rhyticeros undulatus,Wreathed hornbill,120,98500,820.83
Tockus damarensis,Damara red-billed hornbill,120,18364,153.03
Tockus deckeni,Von der Decken's hornbill,120,54738,456.15
Tockus erythrorhynchus,Northern red-billed hornbill,120,52040,433.67
Tockus flavirostris,Eastern yellow-billed hornbill,120,29697,247.47
Tockus jacksoni,Jackson's hornbill,120,18577,154.81
Tockus leucomelas,Southern yellow-billed hornbill,120,104775,873.12
Tockus monteiri,Monteiro's hornbill,120,19241,160.34
