species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Melanerpes formicivorus,Picidae,Piciformes,79.62,1502706.45,1827,6.6843,Acorn woodpecker,3355.84,177
Melanerpes herminieri,Picidae,Piciformes,100.0,1468.62,1830,6.0705,Guadeloupe woodpecker,136.88,12
Melanerpes hoffmannii,Picidae,Piciformes,72.16,51111.87,1862,6.9391,Hoffmann's woodpecker,141.68,15
Melanerpes hypopolius,Picidae,Piciformes,52.4,81784.17,1829,5.6231,Grey-breasted woodpecker,69.09,39
Melanerpes lewis,Picidae,Piciformes,105.76,2075995.24,1849,6.1587,Lewis's woodpecker,1428.24,106
Melanerpes portoricensis,Picidae,Piciformes,59.86,8923.08,1803,6.3472,Puerto Rican woodpecker,186.62,10
Melanerpes pucherani,Picidae,Piciformes,62.4,486437.57,1849,6.4001,Black-cheeked woodpecker,139.93,16
Melanerpes pulcher,Picidae,Piciformes,52.48,48456.57,1870,6.2207,Beautiful woodpecker,105.8,11
Melanerpes pygmaeus,Picidae,Piciformes,38.81,126112.5,1885,6.083,Yucatan woodpecker,149.47,23
Melanerpes radiolatus,Picidae,Piciformes,108.0,11021.79,1827,6.7926,Jamaican woodpecker,103.72,8
Melanerpes rubricapillus,Picidae,Piciformes,52.33,877834.62,1862,6.1224,Red-crowned woodpecker,379.08,28
Melanerpes striatus,Picidae,Piciformes,73.4,74161.47,1776,6.4153,Hispaniolan woodpecker,262.56,17
Melanerpes superciliaris,Picidae,Piciformes,77.31,114069.09,1827,7.1181,West Indian woodpecker,213.67,11
Melanerpes uropygialis,Picidae,Piciformes,64.66,567324.49,1854,6.2435,Gila woodpecker,1493.29,68
Melaniparus afer,Paridae,Passeriformes,20.2,427814.63,1789,6.3664,Grey tit,375.33,8
Melaniparus albiventris,Paridae,Passeriformes,21.2,322293.63,1881,6.0538,White-bellied tit,66.7,5
Melaniparus carpi,Paridae,Passeriformes,18.6,305301.81,1957,5.8625,Carp's tit,65.87,6
Melaniparus cinerascens,Paridae,Passeriformes,20.0,1795200.59,1818,5.7969,Ashy tit,137.0,9
Melaniparus fasciiventer,Paridae,Passeriformes,15.2,38778.02,1893,5.8179,Stripe-breasted tit,57.98,5
Melaniparus fringillinus,Paridae,Passeriformes,13.82,390583.14,1884,5.474,Red-throated tit,88.04,5
Melaniparus funereus,Paridae,Passeriformes,25.37,2252792.06,1855,5.6273,Dusky tit,71.93,5
Melaniparus griseiventris,Paridae,Passeriformes,15.5,1535847.66,1882,4.9549,Miombo tit,57.62,6
