sta,plate,lat,lon,dist_km,residual_mm_yr,kept
2HUS,EU,63.3299,19.1648,1199.3,1.078,1
2JRN,EU,59.0838,17.5569,1619.8,0.709,1
2LJU,EU,56.8351,13.9350,1800.4,0.571,1
2MRH,EU,57.7375,12.0022,1673.2,2.253,0
2OSV,EU,60.1830,17.1747,1496.7,0.813,1
3CAN,EU,40.6136,-3.7016,510.9,0.556,1
3GAV,EU,60.6668,17.1317,1444.7,0.908,1
4GAV,EU,60.6668,17.1317,1444.7,0.808,1
5GAV,EU,60.6665,17.1324,1444.8,0.632,1
7BOR,EU,57.7149,12.8915,1689.6,0.641,1
8SKE,EU,64.8792,21.0482,1071.8,0.144,1
AACH,EU,50.7679,6.0884,1359.2,0.208,1
AARS,EU,50.9633,4.8361,1410.6,0.326,1
AAUC,EU,57.0138,9.9873,1690.7,0.717,1
