sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TMPL,53.088694,13.474689,0.019605,0.014689,0.000174,0.000180,7.1731,EU
TMRA,-34.446443,147.534411,0.019901,0.055581,0.000141,0.000127,13.7084,AU
TMRK,43.846386,-79.254452,-0.018585,0.002511,0.000499,0.000465,3.1212,NA
TMRL,42.27451,-82.282554,-0.016431,0.000946,0.000881,0.000902,7.4169,NA
TMS3,40.130037,-105.232794,-0.014191,-0.006523,0.000722,0.000738,3.8932,NA
TMSC,46.716764,-79.090827,-0.016673,0.002143,0.000726,0.000768,18.1300,NA
TMSI,1.297107,103.770348,0.027198,-0.006103,0.000879,0.000803,2.0068,SU
TMST,45.625284,-72.947307,-0.014542,0.004158,0.000308,0.000512,4.6653,NA
TMTB,43.470251,-80.037775,-0.015650,0.001955,0.000280,0.000405,5.2567,NA
TMUT,-35.301082,148.220181,0.018891,0.055391,0.000129,0.000141,15.0007,AU
TN01,28.477186,-16.241153,0.016199,0.017274,0.000148,0.000141,19.1759,AF
TN02,28.418256,-16.550786,0.015981,0.016947,0.000162,0.000138,19.1677,AF
TN03,28.047166,-16.718521,0.016470,0.017063,0.000141,0.000134,17.2375,AF
TN11,36.361664,-82.392765,-0.014086,0.002258,0.000116,0.000130,18.6201,NA
TN12,36.248046,-83.286416,-0.013873,0.001673,0.000119,0.000137,18.6201,NA
TN13,35.943627,-83.207345,-0.013895,0.001937,0.000168,0.000147,18.6201,NA
TN14,36.407593,-84.065183,-0.013931,0.001664,0.000124,0.000136,18.6201,NA
TN15,36.002295,-83.77055,-0.014014,0.001403,0.000114,0.000131,18.6201,NA
TN16,35.90273,-84.60122,-0.013932,0.001704,0.000130,0.000141,18.6201,NA
TN17,35.813385,-84.004879,-0.013575,0.001502,0.000157,0.000163,16.9720,NA
TN18,36.365842,-82.17841,-0.014217,0.002256,0.000115,0.000129,17.3689,NA
TN19,36.408322,-84.528061,-0.014138,0.001548,0.000131,0.000152,16.7036,NA
TN1B,36.477637,-82.811664,-0.014283,0.001641,0.000149,0.000180,14.5845,NA
TN20,21.592214,105.837481,0.034067,-0.010383,0.003794,0.000916,1.0951,EU
TN21,35.064379,-85.207212,-0.013781,0.001544,0.000133,0.000149,17.7906,NA
TN22,35.390484,-85.378055,-0.013445,0.001288,0.000144,0.000154,18.6201,NA
